DS_COR_RACA,count,sum,mean,median
AMARELA,1049,356412498.29,339764.0593803623,119800.0
BRANCA,129264,66835887485.93,517049.5071012037,129368.42
INDÍGENA,897,89792550.4,100103.17770345598,40000.0
NÃO INFORMADO,1660,365040676.5,219904.0219879518,100000.0
PARDA,105249,31985107178.05,303899.3926597877,80500.0
PRETA,27138,6582804951.94,242567.7998356548,69329.08
